FACILITY,TOTAL REVENUE,Branch
FC CHEMICAL,1931.98,KORLE-BU WHOLESALE
ED-MAY,1927.28,TANTRA HILL WHOLESALE
KSA CHEMIST,1924.84,ABEKA WHOLESALE
BANLYD PHARMACY,1922.84,KUMASI WHOLESALE
MERCY AYISAH TATAGH,1919.90,ABEKA WHOLESALE
WEBSTER PHARMACY,1915.54,KASOA WHOLESALE
LORRITA CHEMICAL,1910.34,OFANKOR WHOLESALE
CARMOS PHARMACY,1907.46,OFANKOR WHOLESALE
DORCAS KORKOI QUAYE ADOTE ENT,1906.80,OFANKOR WHOLESALE
SENTILS VENTURES,1906.08,REPUBLIC WHOLESALE
OBREMPONG PHARMACY,1901.24,DANSOMAN MARKET WHOLESALE
LYNSAM CHEMIST,1900.00,OFANKOR WHOLESALE
MAMRE TRADE AND INVESTMENTS,1900.00,OSU WHOLESALE
RESCUE CHEMISTS LIMITED,1897.23,NANAKROM WHOLESALE
MEDICAS HOSPITAL,1888.20,OKAISHIE WHOLESALE
PAK MEDIX,1883.21,NANAKROM WHOLESALE
MAYA CHEMIST,1882.45,MALLAM WHOLESALE
MATHIAS CATHOLIC HOSPITAL,1880.00,PATASE WHOLESALE
MAKARISO CHEMICAL,1879.94,KASOA WHOLESALE
BEATRICE CHEMICALS,1873.20,OKAISHIE WHOLESALE
RICHAM OTC,1872.10,DOME WHOLESALE
GOLDEN SIKA PHARMACY,1872.03,AKUKOR FOTO WHOLESALE
MR TONY HBL-M-SHOP,1871.13,KORLE-BU WHOLESALE
ASK PHARMA,1870.00,MALLAM WHOLESALE
DIANAH CHEMICALS,1869.59,ABEKA WHOLESALE
PANTO PHARMACY LTD,1869.31,KORLE-BU WHOLESALE
GRACE ARTHUR CHEMICALS,1865.20,OFANKOR WHOLESALE
ACHEAMPONG PHARMACY,1864.73,OKAISHIE WHOLESALE
GANA SAKAMAH LTD,1864.16,DOME WHOLESALE
NYKON HEALTHCARE LTD,1860.42,PATASE WHOLESALE
G.I.M. MED. MISSION,1859.31,DANSOMAN MARKET WHOLESALE
DELTA UNIC PHARMACEUTICALS,1857.30,KORLE-BU WHOLESALE
EXPRESS LIFE HEALTHCARE PHARMACY,1854.45,TANTRA HILL WHOLESALE
ABIITA CHEMICAL,1854.39,OKAISHIE WHOLESALE
RAMS OTCMS,1852.40,OKAISHIE WHOLESALE
AGATE MEDICAL CENTRE,1851.96,PATASE WHOLESALE
MARSHAL CHEMIST,1849.16,REPUBLIC WHOLESALE
FAIR VIEW HOTEL,1848.00,MALLAM WHOLESALE
NYARKOA CHEMICALS,1846.78,OFANKOR WHOLESALE
SELIMED PHARMACY,1845.00,MALLAM WHOLESALE
CARDINAL CHEMISTS,1839.00,NANAKROM WHOLESALE
JAWDA PHARMACEUTICALS LTD,1833.00,OKAISHIE WHOLESALE
MAVIS BOATENG CHEMICAL SHOP,1831.30,OFANKOR WHOLESALE
DOME DERRY PHARMACY,1828.00,OKAISHIE WHOLESALE
JKN PHARMACY,1827.38,KORLE-BU WHOLESALE
3M PHARMACY LIMITED,1827.12,KORLE-BU WHOLESALE
DELIEPEE  CHEMICALS,1825.49,MALLAM WHOLESALE
HEALTHSTYLE PHARMACY OSU,1820.91,OKAISHIE WHOLESALE
LIBERTY PHARMACY,1814.89,MALLAM WHOLESALE
JOY PHARMACY LTD,1812.64,ABEKA WHOLESALE
KE-NASH PHARMACY,1809.42,ASHAIMAN WHOLESALE
ROBLOIS PHARMACY LTD,1808.70,OKAISHIE WHOLESALE
TINA CHEMICAL SHOP,1806.28,REPUBLIC WHOLESALE
MERCY OTC,1806.24,REPUBLIC WHOLESALE
MARIGRYL COMPANY LIMITED,1803.00,OSU WHOLESALE
CHURCH OF CHRIST MISSION  HOSPITAL,1800.00,KUMASI WHOLESALE
GOFAITH PHARMACY,1799.56,OKAISHIE WHOLESALE
FAFA CHEMICAL SHOP,1798.13,OFANKOR WHOLESALE
NOVIK PHARMACY LIMITED,1792.14,DANSOMAN MARKET WHOLESALE
ASAMFAM PHARMACEUTICAL,1790.96,DOME WHOLESALE
SAM VANS CHEMICAL,1788.55,KASOA WHOLESALE
BRAINCODE PHARMACY,1787.98,KORLE-BU WHOLESALE
MISSION CLINIC,1786.87,OKAISHIE WHOLESALE
BAKAH CHEMICALS,1785.37,ABEKA WHOLESALE
DIVINE PATH PHARMACY,1781.39,DANSOMAN MARKET WHOLESALE
MAX VEE CHEMICAL,1778.13,ABEKA WHOLESALE
METROPLITAN MEDICAL CENTRE,1772.61,DANSOMAN MARKET WHOLESALE
ATEK CHEMIST,1770.54,OFANKOR WHOLESALE
ANNA CHEMICAL,1762.87,OKAISHIE WHOLESALE
KWIKMART LIMITED,1760.00,OSU WHOLESALE
APL PHARMACY  LTD,1757.85,DANSOMAN MARKET WHOLESALE
ST MICHAEL'S CHEMIST,1756.70,ABEKA WHOLESALE
KORLE BU NEUROSCIENCES FOUNDATION,1753.80,KORLE-BU WHOLESALE
SADASKO PHARMACY,1753.68,OKAISHIE WHOLESALE
SUPREME BOX PHARMACY,1752.82,TANTRA HILL WHOLESALE
PHARMADOPP CHEMICAL,1750.52,DOME WHOLESALE
ELSAH AID PHARMACY LTD,1747.44,KASOA WHOLESALE
ARZTHENA PHARMACY,1740.96,DOME WHOLESALE
VIDASH CHEMICAL,1740.81,ABEKA WHOLESALE
PREMIER IBS HEALTHCARE,1734.09,KORLE-BU WHOLESALE
GIMENS PHARMACY LTD,1729.05,OKAISHIE WHOLESALE
BOS CHEMIST LTD,1728.30,MALLAM WHOLESALE
DANSOMAN POLYCLINIC,1727.18,DANSOMAN MARKET WHOLESALE
LUCKY PHARMACY,1726.80,DANSOMAN MARKET WHOLESALE
LENUS PHARMACY,1720.25,OKAISHIE WHOLESALE
AME PHARMACY,1718.55,OFANKOR WHOLESALE
ASANCO PHARMACY,1717.99,REPUBLIC WHOLESALE
ALPAT PHARMACY- AFLAO,1715.00,OSU WHOLESALE
A K ARHIN CHEMICAL SHOP,1712.26,OFANKOR WHOLESALE
MAHAMA CHEMICAL,1706.67,OKAISHIE WHOLESALE
ADAZARA CHEMICAL,1704.60,AKUKOR FOTO WHOLESALE
GLEM PHARMACY LTD,1704.20,OKAISHIE WHOLESALE
RAKYAA CHEMIST LTD,1704.00,MALLAM WHOLESALE
ORIGIN CHEMIST LIMITED,1701.87,ASHAIMAN WHOLESALE
BB LICENSED OTC,1700.46,TANTRA HILL WHOLESALE
ABIS CHEMIST LTD,1698.25,OKAISHIE WHOLESALE
CURE LINK PHARMACY,1695.84,AKUKOR FOTO WHOLESALE
SAMPA VALLEY  CLINIC,1694.00,MALLAM WHOLESALE
OLEM PHARCEUTICALS LTD,1690.00,KUMASI WHOLESALE
MB-DARAD PHARMACY LTD,1686.00,KASOA WHOLESALE
FAITH PHARMACY,1685.50,OKAISHIE WHOLESALE
MEDICINE SHOPPE PHARMACY - CYRUS,1681.79,MALLAM WHOLESALE
EVE CHEMICAL,1676.70,MALLAM WHOLESALE
OSEIWUSU PHARMA,1676.00,MALLAM WHOLESALE
EUGENEX PHARMACY,1668.00,KORLE-BU WHOLESALE
JOAN CHEMICAL,1667.50,DANSOMAN MARKET WHOLESALE
FAIRFAX PHARMACY LTD,1667.08,REPUBLIC WHOLESALE
MOBIMED PHARMACY LIMITED,1664.90,OKAISHIE WHOLESALE
DIVINE CHEMICALS,1663.40,ABEKA WHOLESALE
AKS PHARMA,1663.39,MALLAM WHOLESALE
X-PERTS PHARMACY,1659.97,MALLAM WHOLESALE
GLOCOM PHARMACY,1652.85,DANSOMAN MARKET WHOLESALE
JOEPHARMA LTD,1652.24,ABEKA WHOLESALE
PATRICIA APPIAH CHEMICAL,1649.32,ABEKA WHOLESALE
MIGHTCRAG CLINIC,1646.45,TANTRA HILL WHOLESALE
LYDIA PHARMACY,1646.40,TANTRA HILL WHOLESALE
1ST FOUNDATION CLINIC,1645.67,DANSOMAN MARKET WHOLESALE
RAYMOND CHEMIST,1645.41,DANSOMAN MARKET WHOLESALE
MOST HOLY HEART SCHOOL,1642.51,DANSOMAN MARKET WHOLESALE
POST AND PADDOCKS  PHARMACEUTICALS,1642.08,REPUBLIC WHOLESALE
BANEXTA CHEMICAL,1641.69,TANTRA HILL WHOLESALE
BLUESTAR MEDICAL TRADING AGENCY,1639.64,KORLE-BU WHOLESALE
EUNICE DZASA CHEMICAL,1635.67,KORLE-BU WHOLESALE
EVERYDAY PHARMACY - AWOSHIE,1627.93,DANSOMAN MARKET WHOLESALE
OAKLEX PHARMACY,1624.04,NANAKROM WHOLESALE
HENTRA PHARMACY,1622.33,OFANKOR WHOLESALE
CEDAR POINT CHEMIST,1620.00,NANAKROM WHOLESALE
DAKAL MEDICAL CENTER,1616.00,KORLE-BU WHOLESALE
LOSAB PHARMACY,1610.99,OKAISHIE WHOLESALE
LUMINA PHARMACY,1607.63,DOME WHOLESALE
WAYNE PHARMACY,1606.60,OKAISHIE WHOLESALE
ZODIAC CHEMIST,1605.07,KORLE-BU WHOLESALE
DAASEBRE PHARMACY,1605.00,KUMASI WHOLESALE
FOUNTAIN MEDICAL SERVICES-HO,1605.00,MALLAM WHOLESALE
PHILTA PHARMACY,1604.50,OSU WHOLESALE
ABASSA CHEMICAL,1603.50,MALLAM WHOLESALE
EDMOND PHARMACY,1603.24,OKAISHIE WHOLESALE
ALL  DAY  PHARMACEUTICAL,1602.95,MALLAM WHOLESALE
CARE UNIT PHARMACY,1601.19,MALLAM WHOLESALE
PEAK CARE PHARMACY,1600.00,KUMASI WHOLESALE
RACHEAL CHEMICAL,1599.56,ABEKA WHOLESALE
IRENE CHEMICALS,1586.29,OKAISHIE WHOLESALE
HEDGE PHARMACY,1584.16,OKAISHIE WHOLESALE
CHRIS OBIMAKO VENTURES,1584.00,KORLE-BU WHOLESALE
CHARLES OSEI ABOGYE CHEMICAL,1581.88,KORLE-BU WHOLESALE
ACCRA NEWTOWN ISLAMIC HOSPITAL,1581.50,KORLE-BU WHOLESALE
CHELLGLEN PHARMACY,1581.27,OKAISHIE WHOLESALE
SAGE MEDICAL CENTRE,1576.00,KORLE-BU WHOLESALE
AL - ALDIL PHARMACY,1573.52,KUMASI WHOLESALE
DALYN PLUS ENTERPRISE,1573.15,DANSOMAN MARKET WHOLESALE
REGINA CHEMICALS,1569.48,DANSOMAN MARKET WHOLESALE
NEW MISSION ACADEMY,1568.91,KUMASI WHOLESALE
MD PHARMACY LTD,1566.00,DOME WHOLESALE
RAPHA CHEMIST LTD,1559.00,MALLAM WHOLESALE
NEXT CARE PHARMACY LTD,1553.86,NANAKROM WHOLESALE
CHARITY CHEMICAL,1553.17,OFANKOR WHOLESALE
FORTIS BACKNAY PHARMACY,1552.21,TANTRA HILL WHOLESALE
GLADYS O BOATENG CHEMICAL SHOP,1551.92,KORLE-BU WHOLESALE
SANDY O CHEMICALS,1551.75,KASOA WHOLESALE
ONE PHAMILY PHARMACY,1548.48,OKAISHIE WHOLESALE
AA DANHARIS PHARMACY,1548.00,NANAKROM WHOLESALE
DICHEMSO METHODIST COOPERATIVE CREDIT  UNION,1546.90,KUMASI WHOLESALE
DAELYN PHARMACY,1546.23,TANTRA HILL WHOLESALE
MARY ACHEAMPONG CHEMICAL,1540.35,TANTRA HILL WHOLESALE
JRX PHARMACY - RETAIL,1539.36,MALLAM WHOLESALE
BOS CHEMIST LTD,1534.50,KORLE-BU WHOLESALE
AME ZION CHURCH WWAED,1533.66,KORLE-BU WHOLESALE
MEDIFEM HOSPITAL,1531.04,MALLAM WHOLESALE
MD PHARMACY - KOPOVI,1528.30,ABEKA WHOLESALE
MODERN CARE CLINIC,1526.09,ABEKA WHOLESALE
WELCOME PHARMACY,1523.90,OFANKOR WHOLESALE
FAMILYMEDS PHARMACY-ASHONGMAN,1523.14,OKAISHIE WHOLESALE
LYN - NACH MEDICAL CENTRE,1522.20,ABEKA WHOLESALE
LYN - NACH MEDICAL CENTRE,1520.00,DOME WHOLESALE
PRIMAR PHARMACY,1520.00,KASOA WHOLESALE
DINOR  WELL  BEING  CENTRE,1516.80,OSU WHOLESALE
ALSONS PHARMACY DOBLO,1516.00,DANSOMAN MARKET WHOLESALE
MERCY CHEMICAL MAMPROBI,1515.25,MALLAM WHOLESALE
FRANK CHEMIST,1515.02,TANTRA HILL WHOLESALE
WINNAMAN PHARMACY,1512.68,KASOA WHOLESALE
VITAN PHARMACY,1511.02,KORLE-BU WHOLESALE
ANGELA HANSON CHEMICAL,1510.66,ABEKA WHOLESALE
KATH MANUFACTURING,1510.00,KUMASI WHOLESALE
BOKO CHEMICAL,1508.34,DOME WHOLESALE
EASE PHARMACY,1507.20,DOME WHOLESALE
DUNWELL METHODIST CHURCH,1505.94,KUMASI WHOLESALE
HALIFAX PHARMACY,1504.80,OSU WHOLESALE
VIDASH CHEMICAL,1503.96,TANTRA HILL WHOLESALE
SUNFLOWER PHARMACEUTICAL LTD,1503.90,MALLAM WHOLESALE
MARYMART PHARMACY - MADINA,1500.00,MALLAM WHOLESALE
METHODIST FAITH HEALING HOSPITAL-ANKAASE,1500.00,KUMASI WHOLESALE
DOXA HERBAL VENTURES,1499.67,PATASE WHOLESALE
GHANUBA SPECIALIST HOSPITAL,1498.50,KORLE-BU WHOLESALE
NYAHO MEDICAL CENTER,1498.15,DOME WHOLESALE
DOCMORISON PHARMACY,1495.15,MALLAM WHOLESALE
C KOTOKA CHEMICAL SHOP,1494.22,OFANKOR WHOLESALE
ABOTARE YE LINCENSED CHEMICAL SHOP,1492.25,KORLE-BU WHOLESALE
ANKOMAH'S CHEMIST,1492.00,OKAISHIE WHOLESALE
SANDRA CHEMICALS,1488.35,OFANKOR WHOLESALE
GREEN LANE CHEMICAL SHOP,1486.29,OFANKOR WHOLESALE
FRESHSPRING CHEMIST,1486.00,ASHAIMAN WHOLESALE
"PHILGILS MED SOLUTIONS, SUNYANI",1486.00,REPUBLIC WHOLESALE
DELDEM PHARMA LTD,1485.40,DANSOMAN MARKET WHOLESALE
LIFE HEALTHCARE PHARMACY AIR PORT,1485.40,TANTRA HILL WHOLESALE
ZOE PHARMACY,1485.00,OKAISHIE WHOLESALE
MAGINALD PHARMACY,1481.05,OKAISHIE WHOLESALE
B & G CHEMICAL,1476.52,KORLE-BU WHOLESALE
TAIFA - NORTH SDA,1476.41,DOME WHOLESALE
ALL  DAY  PHARMACEUTICAL,1470.21,OKAISHIE WHOLESALE
D.KODUA CHEMICALS,1470.04,TANTRA HILL WHOLESALE
MERCY MABEL CHEMICAL SHOP,1469.67,ABEKA WHOLESALE
WAAGACARE-MEDIE BRANCH,1467.50,REPUBLIC WHOLESALE
GEO - F  PHARMACY,1464.06,NANAKROM WHOLESALE
COMMUNITY CHEMICALS,1462.84,ASHAIMAN WHOLESALE
LIMOX CHEMIST,1455.20,KUMASI WHOLESALE
I'S AND J'S PHARMACY LTD,1454.55,DANSOMAN MARKET WHOLESALE
LIBOAT PHARMACEUTICALS AFRIFA,1450.00,DOME WHOLESALE
EXTRON PHARMACY,1448.78,KASOA WHOLESALE
ABUNDANT GRACE CHEMICALS,1443.82,MALLAM WHOLESALE
MONAZ PHARMACY,1442.00,OKAISHIE WHOLESALE
SALBY  PHARMACY,1441.15,AKUKOR FOTO WHOLESALE
HILTON CHEMIST,1440.58,MALLAM WHOLESALE
CYPSER PHARMACY,1440.00,TANTRA HILL WHOLESALE
CHRISTIAN HOME SCHOOL,1437.78,DANSOMAN MARKET WHOLESALE
HEALTH TOWER PHARMACY,1434.45,DOME WHOLESALE
ANN'S CHEMICAL SHOP,1433.89,OFANKOR WHOLESALE
RESURECTION POWER CLINIC,1430.59,TANTRA HILL WHOLESALE
EXECUTIVE PROSTATE CENTRE,1429.25,KORLE-BU WHOLESALE
RANEL CHEMIST,1429.04,OSU WHOLESALE
MESSIAH CHEMISTS,1428.10,REPUBLIC WHOLESALE
KORLE BU DIABETIC CLINIC,1428.00,OFANKOR WHOLESALE
S. O. SARPONG CHEMICAL SHOP,1424.38,REPUBLIC WHOLESALE
NAFELIA CHEMICALS,1421.08,KORLE-BU WHOLESALE
EL - SHADDAI CLINIC,1419.10,KASOA WHOLESALE
BS PHARMA LTD,1418.92,OSU WHOLESALE
MAXIMUM PHARMACY,1418.90,ASHAIMAN WHOLESALE
ROPHI PHARMACY LTD,1415.40,KORLE-BU WHOLESALE
CONELIA PHARMACY,1414.36,DOME WHOLESALE
JAYSTEL PHARMACY,1414.10,OFANKOR WHOLESALE
NEW CREATION MATERNITY/ CHEMICAL SHOP,1412.87,MALLAM WHOLESALE
CAPS PHARMACY,1412.48,NANAKROM WHOLESALE
LIFELINE PHARMACY,1409.83,TANTRA HILL WHOLESALE
JOYCE CHEMICAL SHOP,1409.00,DANSOMAN MARKET WHOLESALE
ESPEL PHARMACY,1408.83,ASHAIMAN WHOLESALE
ELLEN OKEYERE OTC,1404.39,PATASE WHOLESALE
ABLEKUMA NORTH MUNIPAL ASSEMBLY (VETERINARY DEPT),1404.00,DANSOMAN MARKET WHOLESALE
EFAN VICTORY CLINIC,1400.00,KORLE-BU WHOLESALE
OSON'S CHEMIST,1400.00,OKAISHIE WHOLESALE
VIDAB CHEMICALS,1398.86,MALLAM WHOLESALE
SIGMA PHARMACY,1397.81,KORLE-BU WHOLESALE
KRENSEN PHARMACY,1397.18,REPUBLIC WHOLESALE
JULIAN CHEMIST,1393.02,OFANKOR WHOLESALE
CREAMSY CHEMICAL,1390.17,ABEKA WHOLESALE
COMMUNITY CLINIC ABOSEY OKAI,1389.17,KORLE-BU WHOLESALE
GLORYBOG PHARMACY,1388.60,MALLAM WHOLESALE
GILDAMS CHEMIST,1386.02,OKAISHIE WHOLESALE
JOYCE ASIAMAH OVER THE COUNTER MEDICINE SELLER,1382.10,MALLAM WHOLESALE
PEBBLE PHARMACY,1380.00,DANSOMAN MARKET WHOLESALE
AMI PHARMACY,1370.77,OKAISHIE WHOLESALE
ERIC ASARE CHEMICAL,1370.14,TANTRA HILL WHOLESALE
KEMET HOSPITAL,1370.00,KORLE-BU WHOLESALE
ST. THOMAS AQUINAS SNR HIGH,1368.62,REPUBLIC WHOLESALE
FIRST HOPE HEALTH CARE,1368.34,DOME WHOLESALE
TYMCOIN PHARMACY LTD,1362.20,REPUBLIC WHOLESALE
HUTCH PHARMA LTD,1362.18,MALLAM WHOLESALE
BORESA CHEMICAL,1358.49,DOME WHOLESALE
LEONS PHARMACY,1355.91,OKAISHIE WHOLESALE
SEAAG HEALTH SERVICES,1355.22,NANAKROM WHOLESALE
JOVENA CHEMICAL,1352.85,DANSOMAN MARKET WHOLESALE
EYRAM CHEMICALS,1349.84,OKAISHIE WHOLESALE
IVAKITO PHARMACY,1346.21,ABEKA WHOLESALE
MOH BASIC SCHOOL,1345.68,KORLE-BU WHOLESALE
JOHN TEYE MEMORIAL SCHOOL,1345.23,OFANKOR WHOLESALE
MERRIES CHEMICAL,1342.86,DANSOMAN MARKET WHOLESALE
GOLDLEAF PHARMACY,1342.65,KORLE-BU WHOLESALE
MEPRIO PHARMACY,1341.36,PATASE WHOLESALE
MARTKUZI PHARMCY LTD,1338.18,DOME WHOLESALE
SONOTECH MEDICAL AND DIAGNOSTIC CENTRE,1337.61,KORLE-BU WHOLESALE
EDWARD CHEMICAL,1331.15,TANTRA HILL WHOLESALE
BILLI-PAK PHARMACY,1329.95,ABEKA WHOLESALE
D-HEALTH ENT,1329.78,MALLAM WHOLESALE
JK CHEMIST,1328.50,OKAISHIE WHOLESALE
LINDA CHEMICAL SHOP,1327.65,TANTRA HILL WHOLESALE
ABDUL - RAHMAN CHEMICAL,1321.51,MALLAM WHOLESALE
MATERNITY DEPARTMENT KORLE BU,1320.00,KORLE-BU WHOLESALE
BLISS PHARMACY,1317.09,OKAISHIE WHOLESALE
PANAK PHARMACY - GBAWE,1316.69,MALLAM WHOLESALE
KORLE BU SURGICAL,1316.00,KORLE-BU WHOLESALE
DECODEM DRUGSTORE,1313.76,ABEKA WHOLESALE
KELMED PHARMACEUTICALS LTD.,1312.22,AKUKOR FOTO WHOLESALE
SILOAM MISSION HOSPITAL,1307.82,KORLE-BU WHOLESALE
CHALAK CHEMICALS,1305.43,KORLE-BU WHOLESALE
GLITZ PLUS PHARMACY,1305.40,PATASE WHOLESALE
SILOAM MISSION HOSPITAL,1302.54,DANSOMAN MARKET WHOLESALE
ALTON PHARMACY,1301.70,KORLE-BU WHOLESALE
WIOSO HEALTH CENTRE,1301.20,KUMASI WHOLESALE
SEAVIEW HEALTHCARE CENTRE LTD,1300.22,OKAISHIE WHOLESALE
HEALTH BASE PHARMACY,1300.03,OFANKOR WHOLESALE
AIRPORT WOMEN'S HOSPITAL,1300.00,OSU WHOLESALE
DELMA PHARMA LTD,1300.00,MALLAM WHOLESALE
DELTA CLINIC,1300.00,KORLE-BU WHOLESALE
GOGA CHEMICAL,1294.64,KORLE-BU WHOLESALE
OMAFELA CHEMICAL,1292.28,ABEKA WHOLESALE
ALL IS WELL PHARMACY,1292.00,TANTRA HILL WHOLESALE
ST JOHN'S GENERAL HOSPITAL -TANTRA HILL,1286.38,TANTRA HILL WHOLESALE
MOTHER OF GOD CLINIC,1282.57,NANAKROM WHOLESALE
ADENTA PHARMACY,1280.00,TANTRA HILL WHOLESALE
BONSU CHEMICAL,1268.30,ABEKA WHOLESALE
ADOM CHEMICALS,1266.91,OKAISHIE WHOLESALE
ADAM FAMILY CLINIC,1264.00,OSU WHOLESALE
VERON PHARMACY,1263.39,TANTRA HILL WHOLESALE
JOHN TEYE MEMORIAL SCHOOL,1263.22,MALLAM WHOLESALE
MAYDAY PHARMACY,1261.20,TANTRA HILL WHOLESALE
LINAH ASANTE CHEMICAL,1257.96,TANTRA HILL WHOLESALE
BLESSED CHEMIST,1253.60,KORLE-BU WHOLESALE
NORA OTC SHOP,1253.24,ABEKA WHOLESALE
GLENOF MATERNITY AND FAMILY HOSPITAL,1252.70,MALLAM WHOLESALE
MILLENIUM CITY HOSPITAL,1252.26,KASOA WHOLESALE
DAISY PHARMACY,1244.40,MALLAM WHOLESALE
AIDE CHEMIST LTD. - BOTWE,1244.00,ABEKA WHOLESALE
DAISY PHARMACY,1243.05,REPUBLIC WHOLESALE
OMADOD DENTAL AND WELLNESS CNTR,1242.17,OKAISHIE WHOLESALE
DIVINE GRACE  CHEMICAL,1240.55,NANAKROM WHOLESALE
PAUL CHEMICALS,1240.40,REPUBLIC WHOLESALE
BIG MARON PHARMACY,1237.24,TANTRA HILL WHOLESALE
DEEP CARE CLINIC,1235.88,ABEKA WHOLESALE
FIT FOR CHANGE,1230.88,MALLAM WHOLESALE
MEDICAL POINT,1230.35,DOME WHOLESALE
PRECIOUS EYES OPTICALS,1228.67,MALLAM WHOLESALE
ZOLANDES HEALTHLINK PHARMACY,1227.00,OKAISHIE WHOLESALE
HEALTH HAVEN PHARMACY,1226.82,KORLE-BU WHOLESALE
AGNES FREMA CHEMICAL,1224.90,OFANKOR WHOLESALE
DEES PHARMACY,1222.36,NANAKROM WHOLESALE
S.S.O. PHARMACY,1219.05,KORLE-BU WHOLESALE
SAVERS LIFE PHARMACY LTD.,1216.38,KORLE-BU WHOLESALE
CHABIS CHIMICAL SHOP,1214.95,DOME WHOLESALE
PRINCE ADJEI CHEMICAL,1214.80,ABEKA WHOLESALE
ELEANOR ASARE ENT,1213.22,OKAISHIE WHOLESALE
BLACK SWAN PHARMACY,1213.12,KORLE-BU WHOLESALE
GYMED PHARMACY - NEW GBAWE,1211.85,MALLAM WHOLESALE
VIVIANS LICENSED CHEMICAL SHOP,1211.45,MALLAM WHOLESALE
FAMANDA PHARMACY,1210.00,OKAISHIE WHOLESALE
JODEL PHARMACY,1207.02,NANAKROM WHOLESALE
REGENT PHARMACY,1203.23,AKUKOR FOTO WHOLESALE
IMPERIAL CHEMIST,1200.30,ABEKA WHOLESALE
ABOTARE YE LINCENSED CHEMICAL SHOP,1200.00,MALLAM WHOLESALE
HEALTH LINK HOSPITAL,1200.00,OKAISHIE WHOLESALE
HOLY TRINITY  HOSPITAL,1200.00,OKAISHIE WHOLESALE
MAKEESA PHARMACY,1200.00,OSU WHOLESALE
POINT OF CARE PHARMACY,1198.78,KORLE-BU WHOLESALE
TWINS PHARMACY,1198.00,OKAISHIE WHOLESALE
R & J SYNERGY LTD,1197.98,MALLAM WHOLESALE
VANNEL PHARMACY LTD,1196.80,KUMASI WHOLESALE
METROPOLITAN HOSPITAL,1194.74,DANSOMAN MARKET WHOLESALE
ALPHABET GLOBAL PHARMACY,1192.17,MALLAM WHOLESALE
HARIPEL PHARMACY,1192.00,OKAISHIE WHOLESALE
REMEDY ISLAND PHARMACY,1191.40,KUMASI WHOLESALE
MEDLANE JC PHARMACY,1190.44,PATASE WHOLESALE
CAPE COAST STADIUM CLINIC,1190.00,KORLE-BU WHOLESALE
DIABETIC CENTRE KORLE BU,1190.00,DANSOMAN MARKET WHOLESALE
JEMIMA CHEMICAL,1188.97,ABEKA WHOLESALE
GANESH MEDICAL CENTRE,1184.90,MALLAM WHOLESALE
LINDA A CHEMICAL,1184.56,KASOA WHOLESALE
KATH MANUFACTURING,1180.00,PATASE WHOLESALE
SMART CARE PHARMACY,1178.15,OKAISHIE WHOLESALE
JOAN CHEMICAL,1178.00,OKAISHIE WHOLESALE
TOPMED HOSPITAL ATIBIE,1174.00,KORLE-BU WHOLESALE
VIGOR PHARMACY,1170.80,MALLAM WHOLESALE
EVALIZ PHARMACY LIMITED-AMASAMAN,1170.00,TANTRA HILL WHOLESALE
OXALE PHARMACY LTD,1169.51,PATASE WHOLESALE
DOSTY PHARMACY,1165.00,ASHAIMAN WHOLESALE
ST. MARTINS MEMORIAL  HOSPITAL,1165.00,OKAISHIE WHOLESALE
XY PHARMACY,1163.30,OKAISHIE WHOLESALE
JETLINKS PHARMACY,1160.43,OKAISHIE WHOLESALE
WALLSTREET PHARMACY,1159.78,ABEKA WHOLESALE
CHURCH ROAD CHEMIST,1158.86,OKAISHIE WHOLESALE
FREDANA CHEMICALS,1151.27,DANSOMAN MARKET WHOLESALE
BRADE PHARMACY LTD,1149.80,DOME WHOLESALE
AUDREY CHEMICAL SHOP,1149.20,ABEKA WHOLESALE
HEALTH FOR AFRICA FOUNDATION,1148.57,KORLE-BU WHOLESALE
EUNICE FENTENG HEALTH CENTER,1148.10,OFANKOR WHOLESALE
A N MUKHTAR CHEMIST,1147.86,KORLE-BU WHOLESALE
GHANA REVENUE AUTHORITY,1146.08,DANSOMAN MARKET WHOLESALE
ROSETTE PHARMACY-GBAWE,1145.42,MALLAM WHOLESALE
HEALTH EIGHT PLUS SERVICES,1144.70,OKAISHIE WHOLESALE
BONSU CHEMICAL,1143.93,TANTRA HILL WHOLESALE
PASMAX PHARMACY,1143.37,DANSOMAN MARKET WHOLESALE
MEDKING PHARMACY LTD,1143.00,KUMASI WHOLESALE
HOFFMAN CHEMICAL SHOP,1141.95,ABEKA WHOLESALE
PHILTA PHARMACY,1141.40,OKAISHIE WHOLESALE
GA EAST MUNICIPAL HOSPITAL -KWABENYA,1140.00,DOME WHOLESALE
HEALTHZONE+  PHARMACY,1140.00,OSU WHOLESALE
J-MIMSHAK PHARMACY,1140.00,OSU WHOLESALE
ST JOHN POLYCLINIC,1140.00,KASOA WHOLESALE
TREE OF LIFE,1140.00,DANSOMAN MARKET WHOLESALE
PEACOCK PHARMACY,1138.00,MALLAM WHOLESALE
TREE OF LIFE,1137.60,KORLE-BU WHOLESALE
ACCRA MEDICAL SUPPLIES,1136.25,KORLE-BU WHOLESALE
JISLORD PHARMACY,1135.31,OKAISHIE WHOLESALE
JEMIMA CRENTSIL HOSPITAL ( TARKORADI),1134.00,DOME WHOLESALE
KAMAL CHEMIST,1132.36,NANAKROM WHOLESALE
